,Date,Ta (°C),Tm (°C),I3 (W/m2),I15 (W/m2),P (kW)
68,2012-03-08 21:54:00,12.694833333333333,10.013166666666665,0.0,0.0,0.0
75,2012-03-09 04:54:00,10.6404,6.2986,0.0,0.0,0.0
76,2012-03-09 05:54:00,9.658833333333334,5.188833333333333,24.059166666666666,49.66250000000001,18.74906666666667
77,2012-03-09 06:54:00,9.911500000000002,5.779833333333333,156.25999999999993,216.9745,143.58789999999996
78,2012-03-09 07:54:00,12.321333333333333,11.285666666666666,207.9483333333333,232.9993333333333,182.64888333333326
79,2012-03-09 08:54:00,13.971499999999999,16.463,369.8368333333334,405.0495,346.03611666666643
80,2012-03-09 09:54:00,16.29883333333333,24.4485,309.9790000000001,316.3173333333334,289.4790000000001
81,2012-03-09 10:54:00,17.38866666666667,27.984666666666666,331.27933333333345,325.78516666666667,302.02478333333323
82,2012-03-09 11:54:00,18.05633333333333,28.632,413.3698333333335,412.90783333333314,386.08773333333335
83,2012-03-09 12:54:00,19.14083333333333,34.03266666666667,238.93183333333337,244.82283333333334,217.4367499999999
84,2012-03-09 13:54:00,16.754833333333334,21.80666666666667,129.1098333333334,111.15983333333332,118.67684999999997
85,2012-03-09 14:54:00,15.542833333333334,16.594666666666665,155.74733333333336,151.59,137.57671666666664
86,2012-03-09 15:54:00,15.423333333333334,16.376166666666666,86.98233333333336,86.89500000000002,76.67405000000001
87,2012-03-09 16:54:00,14.951500000000001,15.1,11.519166666666662,11.616999999999999,8.900199999999996
88,2012-03-09 17:54:00,13.6045,12.451500000000001,0.0,0.0,0.0
89,2012-03-09 18:54:00,12.8815,11.5965,0.0,0.0,0.0
90,2012-03-09 19:54:00,12.831166666666666,11.074333333333334,0.0,0.0,0.0
91,2012-03-09 20:54:00,12.971499999999999,10.8885,0.0,0.0,0.0
92,2012-03-09 21:54:00,12.768833333333333,10.862,0.0,0.0,0.0
99,2012-03-10 04:54:00,11.432666666666668,9.9784,0.0,0.0,0.0
100,2012-03-10 05:54:00,11.550833333333332,10.759333333333332,8.279666666666667,8.256166666666667,5.0995833333333325
101,2012-03-10 06:54:00,11.518999999999998,10.714333333333334,44.64516666666667,45.187999999999995,34.346566666666675
102,2012-03-10 07:54:00,11.934333333333333,11.510999999999997,131.19300000000004,131.88116666666667,111.15973333333334
103,2012-03-10 08:54:00,12.784333333333334,13.293,305.1068333333334,314.8208333333333,271.72408333333334
104,2012-03-10 09:54:00,13.805833333333334,16.535333333333334,297.66350000000006,303.05149999999986,274.62008333333335
105,2012-03-10 10:54:00,14.353166666666667,17.207333333333334,269.1266666666667,266.69733333333335,245.23601666666667
106,2012-03-10 11:54:00,13.930833333333332,16.086833333333335,240.9438333333333,242.59316666666658,225.77595
