Date,Ta (°C),Tm (°C),P (kW),I (W/m2)
2012-10-28,20.647166666666667,18.701000000000004,1173.7044666666666,1431.3218693333333
2012-10-29,15.666083333333333,14.453,2992.8070666666663,3734.0853759999995
2012-10-30,13.05673333333333,10.504716666666667,3336.1705500000003,4228.082588
2012-10-31,17.088083333333334,18.8185,1069.0479333333335,1186.3763266666665
2012-11-01,19.773333333333337,19.559,3255.1213999999995,4109.349898666667
2012-11-02,17.97475,15.23575,3406.4162,4392.073212
2012-11-03,22.682,28.701,4136.651416666667,5218.4192373333335
2012-11-04,22.682,28.701,2956.1039999999985,3689.023680000002
2012-11-05,22.682,28.701,1939.3753666666655,2421.654790666668
2012-11-06,17.078999999999997,15.134749999999999,1895.4346,2329.2107
2012-11-07,15.497916666666665,13.883166666666668,1411.7312166666666,1683.188368
2012-11-08,14.19725,11.450666666666667,2887.081083333333,4429.742770666667
2012-11-09,13.957666666666668,11.281833333333333,3100.238731086729,4040.059544568443
2012-11-10,14.069166666666668,10.810916666666667,3104.7066666666665,4039.9827733333336
2012-11-11,17.755000000000003,15.602333333333336,1951.9354833333332,2456.671297333333
2012-11-12,19.14633333333333,17.872,839.1938000000001,1010.0955466666667
2012-11-13,18.276916666666672,17.466666666666665,1607.8066000000001,1969.6897146666668
2012-11-14,17.150416666666665,15.104083333333332,2869.2142833333332,3742.4073280000002
2012-11-15,15.713,14.7,192.41215000000003,288.1206226666667
2012-11-16,16.018916666666662,14.7,857.2021500000001,1031.4322319999999
2012-11-17,15.676333333333334,12.858583333333335,2541.8988833333337,3324.7088706666664
2012-11-18,12.412166666666668,9.470699999999999,5.9213367346938774,11.407011863945579
2012-11-19,15.384708333333332,14.101166666666666,264.5501420289855,336.93440672463777
2012-11-20,15.935416666666669,14.761583333333334,899.7225666666667,1078.3211693333335
2012-11-21,16.228333333333335,13.796583333333334,2163.72065,2731.0003906666666
2012-11-22,15.672083333333335,13.046416666666666,2393.051633333334,3107.720274666667
2012-11-23,15.643666666666665,13.944749999999999,1264.2794166666667,1469.5006293333333
2012-11-24,14.367249999999999,12.061833333333333,1975.4823000000004,2530.459470666666
2012-11-25,12.840333333333334,9.870666666666667,2285.48275,3136.631950666667
2012-11-26,12.934000000000001,10.25175,2510.0038833333333,3204.1678813333333
2012-11-27,15.195583333333335,12.245333333333335,2015.0840666666666,3009.5935240000003
2012-11-28,19.240333333333332,18.811833333333333,574.0962166666668,706.6094906666667
2012-11-29,16.711,21.08,0.0,4158.358705333332
2012-11-30,16.711,21.08,3.3240833333333324,2093.361211999998
2012-12-01,10.501916666666666,7.523666666666667,2534.6055499999998,3412.4032000000007
2012-12-02,11.801,10.238416666666668,962.8440666666668,1114.313932
2012-12-03,8.579,6.908166666666666,1472.5215833333332,1795.0338840000002
2012-12-04,11.9445,11.852333333333334,2466.435716666667,3248.5516786666667
2012-12-05,11.084916666666665,8.4185,2492.9430500000003,3253.6401053333334
2012-12-06,8.291000000000002,6.932333333333332,1882.44815,2378.100717333333
2012-12-07,8.952666666666666,11.75925,2488.576516666666,3299.624633333333
2012-12-08,11.532250000000001,10.018333333333334,724.3772166666665,885.7156946666666
2012-12-09,8.180666666666667,6.871416666666667,1710.603033333333,2030.8696786666667
2012-12-10,7.9025,5.537416666666666,2470.3897,3278.8140706666672
2012-12-11,8.352583333333333,7.633583333333334,2634.4952000000008,3449.656874117647
2012-12-12,8.022783333333333,7.362466666666667,2135.273723453997,2798.8965892609353
2012-12-13,7.026999999999999,6.192916666666667,2214.000266666667,2902.223610666667
2012-12-14,11.740083333333335,10.700000000000001,1086.1054901360544,1315.6933755102039
2012-12-15,14.9633,13.797083333333333,748.1385999999999,895.3108533333332
2012-12-16,13.50975,11.245916666666666,1644.3755666666668,2046.848224
2012-12-17,12.921166666666664,10.846833333333334,972.8167666666667,1154.5475333333336
2012-12-18,10.318666666666665,8.360500000000002,1666.8440166666667,2119.1964759999996
2012-12-19,9.088833333333334,7.662749999999999,606.3113666666667,745.3969040000001
2012-12-20,9.042833333333332,6.11125,1978.6399500000002,2630.2080399999995
2012-12-21,9.002733333333333,7.079833333333333,614.4455833333334,706.9893213333334
2012-12-22,8.761666666666667,6.929166666666665,933.1623999999999,1126.012348
2012-12-23,10.697416666666667,11.722333333333331,2387.7503333333334,3140.961728
2012-12-24,10.173666666666666,11.161666666666667,2352.286783333334,3132.236356
2012-12-25,13.501083333333332,12.99025,2260.470616666667,3075.3817973333335
2012-12-26,14.693916666666667,13.391916666666667,840.8057499999999,995.7718373333333
2012-12-27,12.56575,11.10675,2163.1531833333333,2831.217174666667
2012-12-28,9.7,8.0,1122.7333999999998,1958.9664973333327
2012-12-29,9.7,8.0,1192.605,2039.5676868085097
2012-12-30,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2012-12-31,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-01-01,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-01-02,6.639,2.5546666666666664,25.781266666666667,50.44454533333333
2013-01-03,10.216666666666669,8.883333333333333,2056.9317499999997,2600.0536346666668
2013-01-04,11.709416666666666,10.490833333333335,1508.6387833333333,1937.3328173333332
2013-01-05,11.429583333333333,9.136383333333335,1031.86025,1296.3289306666668
2013-01-06,10.774833333333333,10.076416666666667,2662.3134999999997,3402.6099000000004
2013-01-07,11.410333333333334,9.726166666666666,1976.4395499999996,2550.8208466666665
2013-01-08,6.979500000000001,6.211833333333334,2779.708257575758,3634.6579689696964
2013-01-09,9.327083333333334,9.832999999999998,1388.1358,1680.2517813333336
2013-01-10,11.645416666666666,10.979083333333334,482.9673833333333,583.7543613333335
2013-01-11,11.454616666666665,9.577000000000002,1849.6448666666663,2276.8937266666667
2013-01-12,8.621333333333332,6.781333333333333,2113.9987333333333,2693.9097346666667
2013-01-13,12.972750000000001,14.86,1895.9543499999995,3262.5491586666667
2013-01-14,13.484416666666666,11.993833333333335,1067.5760966666664,1274.2413523555556
2013-01-15,13.728166666666668,12.424583333333334,188.08495,255.1627613333333
2013-01-16,9.914416666666668,8.148416666666668,1739.9404,2198.8063079999997
2013-01-17,11.728333333333335,10.48225,1333.7846499999998,1597.3304
2013-01-18,8.296,6.018999999999999,1957.1809500000004,2417.146104
2013-01-19,10.778416666666665,11.048083333333334,2554.6384166666667,3173.910437333333
2013-01-20,15.253416666666668,14.395333333333333,1755.9453166666665,2134.392468
2013-01-21,14.715,13.806,1374.7146166666666,1643.66154
2013-01-22,11.819916666666666,9.924333333333333,2996.4215666666664,3833.750157333333
2013-01-23,11.153166666666666,9.162416666666667,2655.5584416666666,3453.750383666667
2013-01-24,11.363999999999997,9.625416666666666,2138.270798077868,2522.9454844006386
