Date,Ta (°C),Tm (°C),I (W/m2),Month,Day,Time,Season,P (kW)
2013-10-12 13:57:00,27.8765,34.13516666666666,319.8054706666666,10,12,13,3,246.2094333333333
2013-10-12 14:57:00,27.53383333333333,34.516000000000005,270.2033746666666,10,12,14,3,228.66810000000004
2013-10-12 15:57:00,26.130666666666663,28.78566666666667,138.40879466666667,10,12,15,3,104.6425
2013-10-12 16:57:00,24.58333333333333,24.207833333333337,22.41396133333333,10,12,16,3,15.419749999999992
2013-10-12 17:57:00,23.56533333333333,22.125999999999998,1.9665279999999987,10,12,17,3,0.9520500000000002
2013-10-12 18:57:00,22.927,21.25283333333333,0.8842733333333324,10,12,18,3,0.0
2013-10-12 19:57:00,22.3775,20.5775,0.7331199999999987,10,12,19,3,0.0
2013-10-12 20:57:00,22.356166666666667,20.9325,0.7331199999999987,10,12,20,3,0.0
2013-10-12 21:47:00,22.3706,20.8006,0.73031111111111,10,12,21,3,0.0
2013-10-13 04:57:00,21.42866666666667,20.099666666666668,0.0,10,13,4,3,0.0
2013-10-13 05:57:00,21.745166666666663,20.4115,0.07687183673469382,10,13,5,3,0.0057551020408163
2013-10-13 06:58:00,22.329666666666668,21.044666666666668,31.7071675,10,13,6,3,20.3175625
2013-10-13 07:58:00,23.10383333333333,23.04466666666667,100.21015200000001,10,13,7,3,78.5070333333333
2013-10-13 08:58:00,24.452166666666667,26.78783333333333,196.75202399999998,10,13,8,3,150.5014833333333
2013-10-13 09:58:00,26.38733333333333,36.161,416.3182666666668,10,13,9,3,340.5803833333334
2013-10-13 10:58:00,27.495000000000005,38.9205,410.03647600000005,10,13,10,3,314.38505000000004
2013-10-13 11:58:00,28.36933333333334,41.80166666666667,459.40248533333335,10,13,11,3,356.54573333333315
2013-10-13 12:58:00,29.412333333333336,49.73616666666667,646.9280866666663,10,13,12,3,529.3770833333333
2013-10-13 13:58:00,29.020666666666667,42.89983333333333,464.1250373333334,10,13,13,3,359.4267166666665
2013-10-13 14:58:00,28.69383333333333,38.996833333333335,394.571488,10,13,14,3,308.5193000000001
2013-10-13 15:58:00,27.4255,32.2605,235.18730133333335,10,13,15,3,180.8897666666667
2013-10-13 16:58:00,25.773666666666667,25.6945,67.96370933333333,10,13,16,3,47.75649999999998
2013-10-13 17:58:00,24.15233333333333,22.0575,0.9365639999999997,10,13,17,3,0.8306666666666666
2013-10-13 18:58:00,23.262666666666664,20.9905,0.24384666666666643,10,13,18,3,0.0
2013-10-13 19:58:00,22.398,20.35633333333333,0.8162279999999997,10,13,19,3,0.0
2013-10-13 20:58:00,22.241666666666664,20.622333333333334,1.099679999999999,10,13,20,3,0.0
2013-10-13 21:58:00,22.3145,21.233833333333333,1.09968,10,13,21,3,0.0
2013-10-14 04:58:00,21.56883333333333,20.3535,0.7331199999999991,10,14,4,3,0.0
2013-10-14 05:58:00,21.093833333333333,19.822499999999994,0.7819946666666656,10,14,5,3,0.06455
2013-10-14 06:58:00,21.121666666666663,19.8635,15.606823999999998,10,14,6,3,8.940450000000004
2013-10-14 07:58:00,22.1545,22.715666666666664,109.80772666666667,10,14,7,3,85.28433333333331
2013-10-14 08:58:00,23.361833333333333,25.625333333333334,182.93235066666676,10,14,8,3,142.55364999999998
2013-10-14 09:58:00,24.788500000000003,30.769833333333334,404.0991413333332,10,14,9,3,346.98934999999994
2013-10-14 10:58:00,25.152833333333334,31.43883333333333,472.97541999999993,10,14,10,3,377.7102666666667
2013-10-14 11:58:00,25.37166666666667,32.32716666666666,510.3832813333333,10,14,11,3,395.9620666666664
2013-10-14 12:58:00,25.692333333333337,33.83166666666666,577.0941106666668,10,14,12,3,426.2896666666668
2013-10-14 13:58:00,25.22666666666667,30.27116666666667,340.49568399999987,10,14,13,3,269.4564166666666
2013-10-14 14:58:00,25.44333333333333,31.2275,379.6481480000002,10,14,14,3,299.82530000000014
2013-10-14 15:58:00,24.271833333333333,26.782333333333337,176.41599333333332,10,14,15,3,142.86944999999997
2013-10-14 16:58:00,22.7545,21.832666666666665,63.46105466666668,10,14,16,3,42.23789999999999
2013-10-14 17:58:00,21.247,19.006500000000003,1.0200853333333328,10,14,17,3,0.7392999999999998
2013-10-14 18:58:00,20.686833333333333,18.540333333333333,0.14999466666666667,10,14,18,3,0.0
2013-10-14 19:58:00,20.77733333333333,18.49866666666667,0.36655999999999944,10,14,19,3,0.0
2013-10-14 20:58:00,20.88233333333333,18.481,0.28123999999999977,10,14,20,3,0.0
2013-10-14 21:58:00,20.30966666666667,17.985166666666668,0.00021066666666664559,10,14,21,3,0.0
2013-10-15 04:58:00,19.185166666666667,16.0675,0.36655999999999955,10,15,4,3,0.0
2013-10-15 05:58:00,19.518833333333333,17.549166666666668,1.0317239999999994,10,15,5,3,0.2527166666666666
2013-10-15 06:58:00,19.69233333333333,17.63933333333333,26.133634666666666,10,15,6,3,14.25261666666667
2013-10-15 07:58:00,21.68,21.36733333333333,148.00519200000005,10,15,7,3,116.09446666666668
2013-10-15 08:58:00,23.287333333333336,25.6605,212.63258266666668,10,15,8,3,158.53324999999998
2013-10-15 09:58:00,25.414666666666665,37.034,427.656788,10,15,9,3,358.0877833333334
2013-10-15 10:58:00,26.10366666666667,37.60866666666667,394.60161066666655,10,15,10,3,329.2334166666668
2013-10-15 11:58:00,26.88533333333333,38.91766666666666,452.7917080000001,10,15,11,3,378.9381166666668
2013-10-15 12:58:00,26.48483333333333,34.96083333333333,349.0010000000001,10,15,12,3,295.14080000000007
2013-10-15 13:58:00,26.521,35.58316666666666,374.0552226666667,10,15,13,3,318.1044666666666
2013-10-15 14:58:00,25.776,31.845166666666668,283.36532399999993,10,15,14,3,231.54776666666675
2013-10-15 15:58:00,24.784166666666664,28.2375,169.99764666666667,10,15,15,3,134.74363333333335
2013-10-15 16:58:00,23.0775,22.61683333333333,31.57107466666667,10,15,16,3,23.793516666666665
2013-10-15 17:58:00,21.9845,20.003666666666668,0.15240266666666666,10,15,17,3,0.1775
2013-10-15 18:58:00,21.68050000000001,19.359333333333336,0.0,10,15,18,3,0.0
2013-10-15 19:58:00,21.1835,18.53,0.0,10,15,19,3,0.0
2013-10-15 20:58:00,20.52383333333333,17.6695,0.0,10,15,20,3,0.0
2013-10-15 21:48:00,20.3462,17.941399999999998,0.0,10,15,21,3,0.0
2013-10-16 04:58:00,18.962,15.439833333333333,0.36655999999999955,10,16,4,3,0.0
2013-10-16 05:58:00,17.985833333333332,13.658833333333336,0.23857999999999974,10,16,5,3,0.0168166666666666
2013-10-16 06:58:00,17.386666666666667,13.532666666666666,54.20575999999999,10,16,6,3,22.380516666666665
2013-10-16 07:58:00,20.17866666666667,20.386833333333332,265.48359466666665,10,16,7,3,182.82895
2013-10-16 08:58:00,22.31866666666667,28.753666666666664,466.93506133333335,10,16,8,3,348.2025833333333
2013-10-16 09:58:00,24.00283333333333,39.08116666666666,616.8578453333336,10,16,9,3,494.4900333333333
2013-10-16 10:58:00,25.3175,43.3975,742.1797493333333,10,16,10,3,582.0227666666668
2013-10-16 11:58:00,25.982333333333333,41.77783333333333,603.9052186666667,10,16,11,3,478.4765833333335
2013-10-16 12:58:00,26.228333333333328,39.01216666666667,490.4374373333334,10,16,12,3,417.5164666666666
2013-10-16 13:58:00,22.3815,22.47733333333333,51.02729866666669,10,16,13,3,45.486750000000015
2013-10-16 14:58:00,19.36016666666666,18.291,33.933432,10,16,14,3,24.555466666666657
2013-10-16 15:58:00,19.3635,18.97233333333333,65.31814266666667,10,16,15,3,52.12836666666667
2013-10-16 16:58:00,17.52766666666667,16.300833333333333,13.320650666666664,10,16,16,3,8.345650000000004
2013-10-16 17:58:00,16.351666666666667,14.321166666666665,1.088847999999998,10,16,17,3,0.3508166666666665
2013-10-16 18:58:00,16.1795,13.4065,0.6198866666666658,10,16,18,3,0.0
2013-10-16 19:58:00,16.386833333333332,13.532166666666669,0.36655999999999944,10,16,19,3,0.0
2013-10-16 20:58:00,16.278166666666667,14.230333333333334,0.36655999999999944,10,16,20,3,0.0
2013-10-16 21:58:00,16.519833333333334,14.023166666666668,0.36655999999999994,10,16,21,3,0.0
2013-10-17 04:58:00,15.025833333333331,12.2065,0.7331199999999991,10,17,4,3,0.0
2013-10-17 05:58:00,14.980166666666667,12.089166666666666,0.7453386666666655,10,17,5,3,0.0400666666666666
2013-10-17 06:58:00,14.048666666666668,10.691,60.03036533333333,10,17,6,3,25.958716666666664
2013-10-17 07:58:00,17.007166666666667,17.910500000000003,294.74972266666674,10,17,7,3,201.50405000000003
2013-10-17 08:58:00,18.299000000000003,22.56383333333333,504.8207493333333,10,17,8,3,379.12465
2013-10-17 09:58:00,18.946166666666667,24.472166666666663,668.7772973333333,10,17,9,3,538.4001833333334
2013-10-17 10:58:00,19.518,25.902833333333337,776.3479119999998,10,17,10,3,614.2896666666668
2013-10-17 11:58:00,20.016666666666666,27.06916666666667,792.3341893333334,10,17,11,3,633.7343833333337
